iter	SMAPE	RMSE	MAPE	MAE
48	39.1214492	1084.643297	0.5599061786	767.3257254
49	39.21225946	1084.365032	0.5593836795	767.146381
50	39.03091034	1084.144595	0.5576489454	766.7824688
51	39.06023341	1083.933812	0.5576937738	766.7230549
52	39.11532811	1083.666984	0.5574127575	766.6094892
53	39.07087113	1083.649604	0.5578109867	766.6632987
54	38.82498097	1083.373778	0.5549330806	766.0349459
55	38.83364375	1082.832697	0.5542250713	765.6845685
56	38.82613513	1082.53742	0.5541566764	765.4979777
57	38.81716101	1082.534764	0.5544148322	765.547511
58	38.79570252	1082.27221	0.5544086999	765.3924926
59	38.80706899	1081.842172	0.5536630081	765.0863407
60	39.05444474	1081.679951	0.5543907629	764.8242118
61	39.12286849	1081.629699	0.554413012	764.8211228
62	39.54743337	1081.412652	0.5559705931	764.5735069
63	39.72493146	1081.177736	0.5566247775	764.1705276
64	39.73805846	1081.160468	0.5567296797	764.1670186
65	39.65959889	1081.117313	0.5560082275	764.0455364
66	39.6599538	1081.025876	0.5561696586	764.0178435
67	39.64286191	1081.001587	0.5561519625	764.0142618
68	39.68846914	1080.971914	0.5561327739	764.0195338
69	39.68959274	1080.955865	0.5562173545	764.0350186
70	39.6871784	1080.933205	0.5562232966	764.0157451
71	39.69707612	1080.915119	0.5564112433	764.0252624
72	39.79740841	1080.614033	0.5559019855	763.486147
73	39.79600418	1080.508302	0.5558290968	763.4294103
74	39.80180176	1080.490751	0.5558529668	763.4362828
75	39.82179949	1080.181681	0.5556400461	763.2987489
76	39.82121925	1080.138693	0.5556422869	763.2366147
77	39.84822169	1080.075882	0.5557016556	763.1909542
78	39.84601332	1080.070326	0.5557108822	763.1871993
79	39.86657998	1079.948895	0.5556264306	763.0969249
80	39.87215123	1079.938748	0.5555978141	763.0933866
81	39.87916543	1079.791157	0.5553502989	762.9660019
82	39.87833704	1079.701852	0.5551463633	762.9035176
83	39.86997084	1079.668545	0.5550832374	762.8775379
84	39.87206932	1079.62417	0.5550715131	762.8308057
85	39.8724197	1079.577792	0.5550283426	762.8009113
86	39.88542511	1079.570964	0.5551204844	762.8001762
87	39.90660468	1079.563472	0.5551213956	762.8113039
88	39.87987725	1079.434596	0.5548467989	762.7111937
89	39.87961206	1079.431202	0.5548292497	762.7156516
90	39.91625893	1079.344819	0.5549751018	762.6682455
91	39.91919141	1079.34328	0.5549564593	762.6672046
92	39.94184409	1079.009049	0.5547097799	762.4316079
93	39.94527412	1078.958966	0.5547013533	762.3833602
94	39.92639926	1078.908753	0.5546259205	762.3432167
95	40.00212259	1078.755473	0.5545507422	762.213816
96	40.03912234	1078.715014	0.5547193597	762.2265353
97	40.03000944	1078.62807	0.554680037	762.1064863
98	40.02295455	1078.478797	0.554625796	761.9767966
99	40.01817724	1078.377417	0.5547492626	761.86897
100	40.02642273	1078.25045	0.5545322443	761.7434129
101	40.01616081	1078.214591	0.5543617045	761.6928015
102	39.99394495	1078.057752	0.5542663712	761.5749955
103	39.97945947	1077.951211	0.5540462827	761.4297006
